title_en;title_ru;description_en;description_ru;height;length;width;weight;category;main_photo;photos;colors;materials;country;slug;price;seller
;Набор 2;;;17.00;0.00;11.00;134.00;9;/media/13754.jpg;/media/13754_ldEhdJj.jpg;;;1;743;3.20;1
Колокольчик с ручкой;Колокольчик с ручкой;Этот звонкий колокольчик с надписью Вифлеем или Иерусалим порадует и взрослого, и ребенка. В палестинских школах такими колокольчиками собирают детей в класс. Мелодичный звон этого колокольчика  может звучать на детском празднике, в трапезной, в воскресной школе. А в коллекции он займет достойное место, как колокольчик со Святой Земли;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Этот звонкий колокольчик с надписью Вифлеем или Иерусалим порадует и взрослого, и ребенка. В палестинских школах такими колокольчиками собирают детей в класс. Мелодичный звон этого колокольчика может звучать на детском празднике, в трапезной, в воскресной школе. А в коллекции он займет достойное место, как колокольчик со Святой Земли</span></p>";0.00;14.00;0.00;114.00;9;/media/13752_dDsDBik.jpg;/media/13752.jpg;;1;1;741;5.43;1
;Набор 4;;;14.00;0.00;9.00;118.00;9;/media/13756.jpg;/media/13756_Elt4YVf.jpg;;;1;745;2.00;1
;Вода из реки Иордан;;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Традиционный сувенир - вода из реки Иордан, благословленная в Храме Рождества Христова в Вифлееме. Вода не питьевая, ее можно использовать только для окропления дома.</span></p>";16.00;0.00;0.00;146.00;9;/media/13759.jpg;;;4;1;748;2.50;1
;Набор 5;;;9.00;0.00;11.00;92.00;9;/media/13757.jpg;/media/13757_dpwQC3q.jpg;;;1;746;1.70;1
;Набор 3;;;12.00;0.00;9.00;143.00;9;/media/13755.jpg;/media/13755_eel1hqB.jpg;;;1;744;6.70;1
Rose Incense;"Ладан церковный натуральный ""Роза""";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Этот ладан &ndash; самый популярный сорт на Святой Земле. Им кадят в храмах и монастырях, на Гробе Господнем и в храме Рождества Христова в Вифлееме.&nbsp;</span></p>";0.00;0.00;0.00;500.00;9;/media/uploads/o135_VTXWvg7.jpg;;;;1;o135;55.50;1
Jerusalem Natural Incense;"Ладан иерусалимский ""Натуральный""";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Этот ладан делают в Иерусалиме. Он не ароматизирован. По традиции такой ладан используют во время Великого поста.</span></p>";0.00;0.00;0.00;105.00;9;/media/uploads/o1360_5wc85ux.jpg;;;;1;o1360;4.50;1
Jerusalem Jasmine Incense;"Ладан иерусалимский ""Жасмин""";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Этот ладан делают в Иерусалиме. Этот сорт имеет яркий аромат жасмина.</span></p>";0.00;0.00;0.00;105.00;9;/media/uploads/o1364.jpg;;;;1;o1364;4.40;1
Nard Oil 100% Pure;"Масло ""Нард"" 100% 3 шт.";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Это то самое масло, которое всегда ищут на рынках Иерусалима паломники. У него яркий, насыщеный &nbsp;аромат. Каждый флакончик имеет шариковый аппликатор. Вы можете заказать освящение масла в нашем магазине, в разделе Дополнительные услуги.</span></p>";0.00;0.00;0.00;150.00;9;/media/uploads/photo_2021-12-05_20-09-37.jpg;;;;1;o140;6.40;1
Jerusalem Musk Incense;"Ладан иерусалимский ""Мускус""";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Этот ладан делают в Иерусалиме. Этот сорт называется ""Мускус"" и имеет яркий древесный аромат.</span></p>";0.00;0.00;0.00;105.00;9;/media/uploads/o1362.jpg;;;;1;o1362;4.50;1
Jerusalem Rose Incense;"Ладан иерусалимский ""Роза""";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Этот ладан делают в Иерусалиме. Этот сорт ароматизирован розовым маслом.</span></p>";0.00;0.00;0.00;105.00;9;/media/uploads/o1361_WzWrqyC.jpg;;;;1;o1361;4.50;1
Tabha Bell;"Колокольчик ""Табха""";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Табха находится на берегу Галилейского моря. Имено там произошло умножение 5 хлебов и 2-х рыб, которыми Христос накормил 5 тысяч человек. Колокольчик может пригодиться в детском саду или в Воскресной школе, а так же украсить вашу коллекцию.</span></p>";10.00;0.00;0.00;135.00;9;/media/uploads/755.jpg;;;;1;755;6.50;1
Golden Incense;"Ладан ""Золотой"" греческий";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Греческий ладан с нежным ароматом.</span></p>";10.00;0.00;5.00;500.00;9;/media/uploads/793.jpg;;;8;1;793;21.15;1
Incense  Gardenia;"Ладан ""Гардения"" греческий";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Греческий ладан с нежным ароматом.</span></p>";10.00;0.00;5.00;500.00;9;/media/uploads/796.jpg;;;8;1;796;21.15;1
Incense Silver;"Ладан ""Серебряный"" греческий";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Греческий ладан с нежным ароматом.</span></p>";10.00;0.00;5.00;500.00;9;/media/uploads/790.jpg;;;8;1;790;21.15;1
Nazareth Bell Golden Colour;"Колокольчик золотой ""Назарет""";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Звонкий колокольчик с надписью Назарет и Иерусалим и изобраэением храмов этих городов. В Назарете было Благовещение, а в Иерусалиме - Воскресение Христово. Колокольчик может пригодиться в дтском саду или в Воскресной школе, а так же украсить вашу коллекцию.</span></p>";10.00;0.00;0.00;100.00;9;/media/uploads/753_2zY6e8M.jpg;/media/uploads/753_5HiX8VI.jpg;;1;1;753;6.50;1
Nazareth Bell Silver Colour;"Колокольчик серебрянный ""Назарет""";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Звонкий колокольчик с надписью Назарет и Иерусалим и изображением храмов этих городов. В Назарете было Благовещение, а в Иерусалиме - Воскресение Христово. Колокольчик может пригодиться в деском саду или в Воскресной школе, а так же украсить вашу коллекцию.</span></p>";10.00;0.00;0.00;70.00;9;/media/uploads/754.jpg;;;1;1;754;6.50;1
Incense Night Flowers;"Ладан ""Ночные цветы"" греческий";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Греческий ладан с нежным ароматом.</span></p>";10.00;0.00;5.00;500.00;9;/media/uploads/795.jpg;;;8;1;795;21.15;1
Incense  Violets;"Ладан ""Фиалка"" греческий";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Греческий ладан с нежным ароматом.</span></p>";10.00;0.00;5.00;500.00;9;/media/uploads/797.jpg;;;8;1;797;21.15;1
Incense Lemon Flower;"Ладан ""Цвток лимона"" греческий";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Греческий ладан с нежным ароматом.</span></p>";10.00;0.00;5.00;500.00;9;/media/uploads/794.jpg;;;8;1;794;21.15;1
Incense Rose;"Ладан ""Роза"" греческий";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Греческий ладан с нежным ароматом.</span></p>";10.00;0.00;5.00;500.00;9;/media/uploads/791.jpg;;;8;1;791;21.15;1
Incense Wild Flowers;"Ладан ""Полевые цветы"" греческий";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Греческий ладан с нежным ароматом.</span></p>";10.00;0.00;5.00;500.00;9;/media/uploads/789.jpg;;;8;1;789;21.15;1
Easter Incense;"Ладан ""Пасахалия"" греческий";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Греческий ладан с нежным ароматом.</span></p>";10.00;0.00;5.00;500.00;9;/media/uploads/788.jpg;;;8;1;788;21.15;1
Black Incense;"Ладан ""Черный"" греческий";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Греческий ладан с нежным ароматом.</span></p>";10.00;0.00;5.00;500.00;9;/media/uploads/787.jpg;;;8;1;787;21.15;1
Jerusalem Bell;"Колокольчик ""Иерусалим""";;"<p><span style=""font-size: 14pt;"">Звонкий колокольчик с изображением храма Гроба Господня - отличное дополнение Вашей коллекции.&nbsp; Колокольчик сделан из качественного металла и не потемнеет от времени.</span></p>";0.00;0.00;0.00;70.00;9;/media/uploads/o179_lk5H2vz.jpg;/media/uploads/o179_GmCSEMh.jpg;;1;1;o1791;12.10;1
White Had Cover;Платок белый;;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">""Платочек от Гроба Господня"" - так называют эти платки паломницы. Платок сделан из хлопка с синтетикой. Он не соскальзывает с головые, удобно носится, не мнется. Вы можете заказать у нас освящение платка на Гробе Господнем в разделе <a href=""https://topostours.com/shop/svyat"">Дополнительные услги.&nbsp;</a></span></p>";120.00;0.00;120.00;50.00;9;/media/uploads/450.jpg;;;8;1;450;7.70;1
Jerusalem Myrrh Incense;"Ладан иерусалимский ""Миро""";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Этот ладан делают в Иерусалиме. Аромат называется &laquo;Мирра&raquo; и обладает остро-пряным запахом.</span></p>";0.00;0.00;0.00;105.00;9;/media/uploads/o136.jpg;;;;1;o136;4.50;1
Incense Jasmine;"Ладан ""Жасмин"" греческий";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Греческий ладан с нежным ароматом.</span></p>";10.00;0.00;5.00;500.00;9;/media/uploads/792.jpg;;;8;1;792;21.15;1
Jerusalem Smirna Incense;"Ладан иерусалимский ""Смирна""";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Этот ладан делают в Иерусалиме. Этот сорт называется ""Смирна"" и обладает теплым, чуть горьковатым ароматом.</span></p>";0.00;0.00;0.00;105.00;9;/media/uploads/o1363.jpg;;;;1;o1363;4.50;1
Incense Nard;"Ладан ""Нард"" греческий";;"<p><span style=""font-family: verdana, geneva, sans-serif; font-size: 14pt;"">Греческий ладан с нежным ароматом.</span></p>";10.00;0.00;5.00;500.00;9;/media/uploads/786.jpg;;;8;1;786;21.15;1
